# year,team,score,seed,numwins
1948,Baltimore Bullets,149.333,2,17.3333
1948,Boston Celtics,77,3,6.33333
1948,Chicago Stags,118,3,8.66667
1948,New York Knicks,45.3333,2,6.33333
1948,Philadelphia Warriors,26,1,6
1948,St. Louis Bombers,3,1,3
1949,Baltimore Bullets,77,3,6.33333
1949,Chicago Stags,56,3,4
1949,Minneapolis Lakers,149.333,2,17.3333
1949,New York Knicks,84,2,11
1949,Philadelphia Warriors,84,4,4
1949,Rochester Royals,48.6667,1,8.66667
1949,St. Louis Bombers,84,4,4
1949,Washington Capitols,75.3333,1,15.3333
1950,Anderson Packers,77.3333,2,9.33333
1950,Chicago Stags,0,4,0
1950,Fort Wayne Pistons,62,3,4.66667
1950,Indianapolis Olympians,27,1,7
1950,Minneapolis Lakers,98,1,18
1950,New York Knicks,48,2,7
1950,Philadelphia Warriors,0,4,0
1950,Rochester Royals,0,2,0
1950,Sheboygan Red Skins,37.3333,4,2.33333
1950,Syracuse Nationals,51.3333,1,11.3333
1950,Tri-Cities Blackhawks,21,3,2.33333
1950,Washington Capitols,0,3,0
1951,Boston Celtics,36,2,4
1951,Fort Wayne Pistons,77,3,6.33333
1951,Indianapolis Olympians,121.333,4,6.33333
1951,Minneapolis Lakers,50.0667,1,10.0667
1951,New York Knicks,202.8,3,15.8667
1951,Philadelphia Warriors,24,1,4
1951,Rochester Royals,147.467,2,16.8667
1951,Syracuse Nationals,223.467,4,11.4667
1952,Boston Celtics,45.3333,2,6.33333
1952,Fort Wayne Pistons,84,4,4
1952,Indianapolis Olympians,56,3,4
1952,Minneapolis Lakers,147.467,2,16.8667
1952,New York Knicks,202.8,3,15.8667
1952,Philadelphia Warriors,121.333,4,6.33333
1952,Rochester Royals,50.0667,1,10.0667
1952,Syracuse Nationals,50.0667,1,10.0667
1953,Baltimore Bullets,84,4,4
1953,Boston Celtics,130.6,3,10.0667
1953,Fort Wayne Pistons,143.2,3,11.4667
1953,Indianapolis Olympians,84,4,4
1953,Minneapolis Lakers,96.8667,1,16.8667
1953,New York Knicks,73.8667,1,13.8667
1953,Rochester Royals,45.3333,2,6.33333
1953,Syracuse Nationals,36,2,4
1954,Boston Celtics,0,3,0
1954,Minneapolis Lakers,48.6667,1,8.66667
1954,Rochester Royals,9.33333,2,2.33333
1954,Syracuse Nationals,50.6667,2,7.66667
1955,Boston Celtics,130.6,3,10.0667
1955,Fort Wayne Pistons,27.2,1,7.2
1955,Minneapolis Lakers,80.2667,2,10.0667
1955,New York Knicks,45.3333,2,6.33333
1955,Rochester Royals,77,3,6.33333
1955,Syracuse Nationals,48.2,1,8.2
1956,Boston Celtics,45.3333,2,6.33333
1956,Fort Wayne Pistons,25.2,1,5.2
1956,Minneapolis Lakers,129.333,2,17.3333
1956,New York Knicks,84,4,4
1956,Philadelphia Warriors,48.2,1,8.2
1956,St. Louis Hawks,199.2,3,15.4667
1956,Syracuse Nationals,282.2,3,22.4667
1957,Boston Celtics,48.2,1,8.2
1957,Fort Wayne Pistons,112,3,8
1957,Minneapolis Lakers,110.667,2,12.6667
1957,Philadelphia Warriors,56,3,4
1957,St. Louis Hawks,129.2,1,29.2
1957,Syracuse Nationals,74.6667,2,8.66667
1958,Boston Celtics,26,1,6
1958,Cincinnati Royals,56,3,4
1958,Detroit Pistons,78.6667,2,9.66667
1958,Philadelphia Warriors,127,3,9.66667
1958,St. Louis Hawks,48,1,8
1958,Syracuse Nationals,45.3333,2,6.33333
1959,Boston Celtics,48,1,8
1959,Detroit Pistons,77,3,6.33333
1959,Minneapolis Lakers,110.667,2,12.6667
1959,New York Knicks,36,2,4
1959,St. Louis Hawks,2,1,2
1959,Syracuse Nationals,145,3,11.6667
